condition,trial_index_1based,trigger_label,source,mixture,role_if_attended,band,status,source_n,mixture_n,stored_masked_n,stored_overt_n,align_status,max_abs_error_masked,max_abs_error_overt,max_abs_error_reconstruction,negative_masked_count,negative_overt_count,masked_exceeds_source_count,overt_exceeds_mix_count,overt_exceeds_source_count,masked_key,overt_key
binaural,2,trigger2,female_2,List_2_stim_2,attend,1369-2390,failed_numeric_check,32231,32233,32233,32233,source_padded_2,1.9050158925892902e-06,1.8798460104108017e-06,2.2884591359684237e-06,0,0,1690,5118,3224,List_2_stim_2/female_2/freq_bins/1369-2390,List_2_stim_2/female_2/freq_bins/1369-2390
binaural,2,trigger2,female_2,List_2_stim_2,attend,2478-4207,failed_numeric_check,32231,32233,32233,32233,source_padded_2,1.9009018714655213e-06,1.903524349700092e-06,2.7466611527415807e-06,0,0,1730,5281,2849,List_2_stim_2/female_2/freq_bins/2478-4207,List_2_stim_2/female_2/freq_bins/2478-4207
binaural,2,trigger2,female_2,List_2_stim_2,attend,4356-7285,failed_numeric_check,32231,32233,32233,32233,source_padded_2,2.573332650968041e-06,1.9010793863571962e-06,2.7269901181625755e-06,0,0,1523,5125,3056,List_2_stim_2/female_2/freq_bins/4356-7285,List_2_stim_2/female_2/freq_bins/4356-7285
binaural,2,trigger2,female_2,List_2_stim_2,attend,7537-12498,failed_numeric_check,32231,32233,32233,32233,source_padded_2,1.906544724761261e-06,1.8911139534338872e-06,2.21813655087999e-06,0,0,1559,5101,3443,List_2_stim_2/female_2/freq_bins/7537-12498,List_2_stim_2/female_2/freq_bins/7537-12498
binaural,2,trigger2,female_2,List_2_stim_2,attend,12924-21328,failed_numeric_check,32231,32233,32233,32233,source_padded_2,1.9043274406271848e-06,1.6980415793454995e-06,2.088974333958049e-06,0,0,2316,4311,3369,List_2_stim_2/female_2/freq_bins/12924-21328,List_2_stim_2/female_2/freq_bins/12924-21328
binaural,2,trigger2,male_2,List_2_stim_2,ignore,100-310,failed_numeric_check,31534,32233,32233,32233,source_padded_699,1.866522922000513e-06,1.8980378158062194e-06,2.1467107700345878e-06,0,0,1516,5051,2793,List_2_stim_2/male_2/freq_bins/100-310,List_2_stim_2/male_2/freq_bins/100-310
binaural,2,trigger2,male_2,List_2_stim_2,ignore,328-684,failed_numeric_check,31534,32233,32233,32233,source_padded_699,1.8978643012701468e-06,1.8786784039548365e-06,2.6860388544491798e-06,0,0,1446,5136,3002,List_2_stim_2/male_2/freq_bins/328-684,List_2_stim_2/male_2/freq_bins/328-684
binaural,2,trigger2,male_2,List_2_stim_2,ignore,715-1317,failed_numeric_check,31534,32233,32233,32233,source_padded_699,1.8986328811365638e-06,1.9040429251049318e-06,2.6667624268839063e-06,0,0,1372,5071,3527,List_2_stim_2/male_2/freq_bins/715-1317,List_2_stim_2/male_2/freq_bins/715-1317
binaural,2,trigger2,male_2,List_2_stim_2,ignore,1369-2390,failed_numeric_check,31534,32233,32233,32233,source_padded_699,1.9066749814555806e-06,1.8971315398630395e-06,2.2202573575214046e-06,0,0,1374,5275,3229,List_2_stim_2/male_2/freq_bins/1369-2390,List_2_stim_2/male_2/freq_bins/1369-2390
binaural,2,trigger2,male_2,List_2_stim_2,ignore,2478-4207,failed_numeric_check,31534,32233,32233,32233,source_padded_699,1.897842089704227e-06,1.906060816736499e-06,2.3979473837698606e-06,0,0,1557,5634,2606,List_2_stim_2/male_2/freq_bins/2478-4207,List_2_stim_2/male_2/freq_bins/2478-4207
