condition,trial_index_1based,trigger_label,source,mixture,role_if_attended,band,status,source_n,mixture_n,stored_masked_n,stored_overt_n,align_status,max_abs_error_masked,max_abs_error_overt,max_abs_error_reconstruction,negative_masked_count,negative_overt_count,masked_exceeds_source_count,overt_exceeds_mix_count,overt_exceeds_source_count,masked_key,overt_key
diotic,4,trigger1,female_4,List_1_stim_4,ignore,715-1317,failed_numeric_check,31739,30200,30200,30200,source_truncated_1539,1.8970300388332362e-06,1.8894866258278853e-06,2.4914860787816906e-06,0,0,1702,4881,3169,List_1_stim_4/female_4/freq_bins/715-1317,List_1_stim_4/female_4/freq_bins/715-1317
diotic,4,trigger1,female_4,List_1_stim_4,ignore,1369-2390,failed_numeric_check,31739,30200,30200,30200,source_truncated_1539,1.93908476830984e-06,1.9063709473243762e-06,2.277178133169855e-06,0,0,1745,4560,3183,List_1_stim_4/female_4/freq_bins/1369-2390,List_1_stim_4/female_4/freq_bins/1369-2390
diotic,4,trigger1,female_4,List_1_stim_4,ignore,2478-4207,failed_numeric_check,31739,30200,30200,30200,source_truncated_1539,1.8953072427052575e-06,1.8981764355885389e-06,2.694198990127461e-06,0,0,1839,4271,3332,List_1_stim_4/female_4/freq_bins/2478-4207,List_1_stim_4/female_4/freq_bins/2478-4207
diotic,4,trigger1,female_4,List_1_stim_4,ignore,4356-7285,failed_numeric_check,31739,30200,30200,30200,source_truncated_1539,3.106942514818911e-06,3.527807223235868e-06,3.1657897210379815e-06,0,0,1544,4335,3344,List_1_stim_4/female_4/freq_bins/4356-7285,List_1_stim_4/female_4/freq_bins/4356-7285
diotic,4,trigger1,female_4,List_1_stim_4,ignore,7537-12498,failed_numeric_check,31739,30200,30200,30200,source_truncated_1539,1.9061472613657315e-06,1.9065231740000854e-06,2.1961746483611932e-06,0,0,1661,4162,3576,List_1_stim_4/female_4/freq_bins/7537-12498,List_1_stim_4/female_4/freq_bins/7537-12498
diotic,4,trigger1,female_4,List_1_stim_4,ignore,12924-21328,failed_numeric_check,31739,30200,30200,30200,source_truncated_1539,1.8745248624441047e-06,1.6762033538952892e-06,1.8806689112693675e-06,0,0,2335,3665,3415,List_1_stim_4/female_4/freq_bins/12924-21328,List_1_stim_4/female_4/freq_bins/12924-21328
diotic,4,trigger2,female_4,List_2_stim_4,attend,100-310,failed_numeric_check,31739,31739,31739,31739,same_length,1.9039073748672308e-06,1.9066457284111493e-06,2.056592869337237e-06,0,0,1650,5544,2518,List_2_stim_4/female_4/freq_bins/100-310,List_2_stim_4/female_4/freq_bins/100-310
diotic,4,trigger2,female_4,List_2_stim_4,attend,328-684,failed_numeric_check,31739,31739,31739,31739,same_length,1.903529991409414e-06,1.8938449883876274e-06,2.1689830802529286e-06,0,0,1519,5965,2682,List_2_stim_4/female_4/freq_bins/328-684,List_2_stim_4/female_4/freq_bins/328-684
diotic,4,trigger2,female_4,List_2_stim_4,attend,715-1317,failed_numeric_check,31739,31739,31739,31739,same_length,1.8938129358048172e-06,1.9055419571145649e-06,3.382037164101348e-06,0,0,1679,5682,2829,List_2_stim_4/female_4/freq_bins/715-1317,List_2_stim_4/female_4/freq_bins/715-1317
diotic,4,trigger2,female_4,List_2_stim_4,attend,1369-2390,failed_numeric_check,31739,31739,31739,31739,same_length,1.8817014932892562e-06,1.905673975954869e-06,2.6915866655485843e-06,0,0,1726,5373,2875,List_2_stim_4/female_4/freq_bins/1369-2390,List_2_stim_4/female_4/freq_bins/1369-2390
diotic,4,trigger2,female_4,List_2_stim_4,attend,2478-4207,failed_numeric_check,31739,31739,31739,31739,same_length,1.8996120374481507e-06,1.9044390029421265e-06,2.5639258609544413e-06,0,0,1878,5130,2885,List_2_stim_4/female_4/freq_bins/2478-4207,List_2_stim_4/female_4/freq_bins/2478-4207
diotic,4,trigger2,female_4,List_2_stim_4,attend,4356-7285,failed_numeric_check,31739,31739,31739,31739,same_length,2.416991051745754e-06,3.5711063759436e-06,3.4678047029501613e-06,0,0,1451,5421,2836,List_2_stim_4/female_4/freq_bins/4356-7285,List_2_stim_4/female_4/freq_bins/4356-7285
diotic,4,trigger2,female_4,List_2_stim_4,attend,7537-12498,failed_numeric_check,31739,31739,31739,31739,same_length,1.9021731176849244e-06,1.9060896647715708e-06,2.096095613524085e-06,0,0,1654,4884,3384,List_2_stim_4/female_4/freq_bins/7537-12498,List_2_stim_4/female_4/freq_bins/7537-12498
diotic,4,trigger2,female_4,List_2_stim_4,attend,12924-21328,failed_numeric_check,31739,31739,31739,31739,same_length,1.8897747224855266e-06,1.7957795037659707e-06,1.8897747224855266e-06,0,0,2335,4061,3434,List_2_stim_4/female_4/freq_bins/12924-21328,List_2_stim_4/female_4/freq_bins/12924-21328
