condition,trial_index_1based,trigger_label,source,mixture,role,band,status,source_n,mixture_n,masked_n,overt_n,align_status,source_key,mixture_key,masked_key,overt_key,max_abs_error_masked,max_abs_error_overt,max_abs_error_reconstruction,source_min,mixture_min,masked_min,overt_min
diotic,4,trigger1,female_4,List_1_stim_4,ignore,12924-21328,ok,31739,30200,30200,30200,source_truncated_1539,female_4/freq_bins/12924-21328Hz,List_1_stim_4/freq_bins/12924-21328Hz,List_1_stim_4/female_4/freq_bins/12924-21328,List_1_stim_4/female_4/freq_bins/12924-21328,1.8745248624441047e-06,1.6762033538952892e-06,1.8806689112693675e-06,0.0,0.0,0.0,0.0
diotic,4,trigger2,female_4,List_2_stim_4,attend,100-310,ok,31739,31739,31739,31739,same_length,female_4/freq_bins/100-310Hz,List_2_stim_4/freq_bins/100-310Hz,List_2_stim_4/female_4/freq_bins/100-310,List_2_stim_4/female_4/freq_bins/100-310,1.9039073748672308e-06,1.9066457284111493e-06,2.056592869337237e-06,0.0,0.0,0.0,0.0
diotic,4,trigger2,female_4,List_2_stim_4,attend,328-684,ok,31739,31739,31739,31739,same_length,female_4/freq_bins/328-684Hz,List_2_stim_4/freq_bins/328-684Hz,List_2_stim_4/female_4/freq_bins/328-684,List_2_stim_4/female_4/freq_bins/328-684,1.903529991409414e-06,1.8938449883876274e-06,2.1689830802529286e-06,0.0,0.0,0.0,0.0
diotic,4,trigger2,female_4,List_2_stim_4,attend,715-1317,ok,31739,31739,31739,31739,same_length,female_4/freq_bins/715-1317Hz,List_2_stim_4/freq_bins/715-1317Hz,List_2_stim_4/female_4/freq_bins/715-1317,List_2_stim_4/female_4/freq_bins/715-1317,1.8938129358048172e-06,1.9055419571145649e-06,3.382037164101348e-06,0.0,0.0,0.0,0.0
diotic,4,trigger2,female_4,List_2_stim_4,attend,1369-2390,ok,31739,31739,31739,31739,same_length,female_4/freq_bins/1369-2390Hz,List_2_stim_4/freq_bins/1369-2390Hz,List_2_stim_4/female_4/freq_bins/1369-2390,List_2_stim_4/female_4/freq_bins/1369-2390,1.8817014932892562e-06,1.905673975954869e-06,2.6915866655485843e-06,0.0,0.0,0.0,0.0
diotic,4,trigger2,female_4,List_2_stim_4,attend,2478-4207,ok,31739,31739,31739,31739,same_length,female_4/freq_bins/2478-4207Hz,List_2_stim_4/freq_bins/2478-4207Hz,List_2_stim_4/female_4/freq_bins/2478-4207,List_2_stim_4/female_4/freq_bins/2478-4207,1.8996120374481507e-06,1.9044390029421265e-06,2.5639258609544413e-06,0.0,0.0,0.0,0.0
diotic,4,trigger2,female_4,List_2_stim_4,attend,4356-7285,ok,31739,31739,31739,31739,same_length,female_4/freq_bins/4356-7285Hz,List_2_stim_4/freq_bins/4356-7285Hz,List_2_stim_4/female_4/freq_bins/4356-7285,List_2_stim_4/female_4/freq_bins/4356-7285,2.416991051745754e-06,3.5711063759436e-06,3.4678047029501613e-06,0.0,0.0,0.0,0.0
diotic,4,trigger2,female_4,List_2_stim_4,attend,7537-12498,ok,31739,31739,31739,31739,same_length,female_4/freq_bins/7537-12498Hz,List_2_stim_4/freq_bins/7537-12498Hz,List_2_stim_4/female_4/freq_bins/7537-12498,List_2_stim_4/female_4/freq_bins/7537-12498,1.9021731176849244e-06,1.9060896647715708e-06,2.096095613524085e-06,0.0,0.0,0.0,0.0
diotic,4,trigger2,female_4,List_2_stim_4,attend,12924-21328,ok,31739,31739,31739,31739,same_length,female_4/freq_bins/12924-21328Hz,List_2_stim_4/freq_bins/12924-21328Hz,List_2_stim_4/female_4/freq_bins/12924-21328,List_2_stim_4/female_4/freq_bins/12924-21328,1.8897747224855266e-06,1.7957795037659707e-06,1.8897747224855266e-06,0.0,0.0,0.0,0.0
diotic,4,trigger2,male_4,List_2_stim_4,ignore,100-310,ok,30200,31739,31739,31739,source_padded_1539,male_4/freq_bins/100-310Hz,List_2_stim_4/freq_bins/100-310Hz,List_2_stim_4/male_4/freq_bins/100-310,List_2_stim_4/male_4/freq_bins/100-310,1.850479520726367e-06,1.8723489674243865e-06,2.372199546130105e-06,0.0,0.0,0.0,0.0
